date,ASUP_Type,hostname,serial_no,Aggregate,kbytes,used,avail,capacity
2017-07-02 00:34:30,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas,115782104680,98382566932,17399537748,85%
2017-07-02 00:34:30,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas/.snapshot,0,0,0,---%
2017-07-02 00:34:30,WEEKLY_LOG,NASKNX07A,451416000026,aggr0,326979552,290796292,36183260,89%
2017-07-02 00:34:30,WEEKLY_LOG,NASKNX07A,451416000026,aggr0/.snapshot,0,0,0,---%
2017-06-25 00:33:39,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas,115782104680,98169669256,17612435424,85%
2017-06-25 00:33:39,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas/.snapshot,0,0,0,---%
2017-06-25 00:33:39,WEEKLY_LOG,NASKNX07A,451416000026,aggr0,326979552,290796152,36183400,89%
2017-06-25 00:33:39,WEEKLY_LOG,NASKNX07A,451416000026,aggr0/.snapshot,0,0,0,---%
2017-06-18 00:22:49,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas,115782104680,97909088160,17873016520,85%
2017-06-18 00:22:49,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas/.snapshot,0,0,0,---%
2017-06-18 00:22:49,WEEKLY_LOG,NASKNX07A,451416000026,aggr0,326979552,290794876,36184676,89%
2017-06-18 00:22:49,WEEKLY_LOG,NASKNX07A,451416000026,aggr0/.snapshot,0,0,0,---%
2017-06-11 00:22:06,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas,115782104680,97520304984,18261799696,84%
2017-06-11 00:22:06,WEEKLY_LOG,NASKNX07A,451416000026,aggr01_nsas/.snapshot,0,0,0,---%
2017-06-11 00:22:06,WEEKLY_LOG,NASKNX07A,451416000026,aggr0,326979552,290794436,36185116,89%
2017-06-11 00:22:06,WEEKLY_LOG,NASKNX07A,451416000026,aggr0/.snapshot,0,0,0,---%
